auteur;titre;annee;nb_tokens_texte;Entite;Label;latitude;longitude;caractere_debut;caractere_fin;contexte_gauche;contexte_droit
ADAM;Mon-village;année ;32918;Rose;MISC;0;0;5334;5338;"tu
fait venir ici ce soir
Le dragon eut l'air de vouloir et puis de
ne vouloir pas se declarer. Le temps se pas-
sait  donner et a rendre des baisers en nom-
bre innombrable, si bel et si bien que la ";"
se vit encore forcee de redemander:
- Pourquoi donc m'as-tu fait venir?MON V1LLAGE.
Pierre, prenant une grande resolution, dit
comme ca, tout d'une haleine:
-J'airecu, vers les cinq heures, mon ordre"
ADAM;Mon-village;année ;32918;Pierre;MISC;0;0;5423;5429;"larer. Le temps se pas-
sait  donner et a rendre des baisers en nom-
bre innombrable, si bel et si bien que la Rose
se vit encore forcee de redemander:
- Pourquoi donc m'as-tu fait venir?MON V1LLAGE.
";", prenant une grande resolution, dit
comme ca, tout d'une haleine:
-J'airecu, vers les cinq heures, mon ordre
de depart; il paralt que les choses s'em-
brouillent. D'aucuns pretendent qu'on doit
ous r"
ADAM;Mon-village;année ;32918;ca;MISC;0;0;5472;5474;"des baisers en nom-
bre innombrable, si bel et si bien que la Rose
se vit encore forcee de redemander:
- Pourquoi donc m'as-tu fait venir?MON V1LLAGE.
Pierre, prenant une grande resolution, dit
comme ";", tout d'une haleine:
-J'airecu, vers les cinq heures, mon ordre
de depart; il paralt que les choses s'em-
brouillent. D'aucuns pretendent qu'on doit
ous renvoyer contre ceux que ous avons
aides autre"
ADAM;Mon-village;année ;32918;En avantl;MISC;0;0;5733;5742;"ordre
de depart; il paralt que les choses s'em-
brouillent. D'aucuns pretendent qu'on doit
ous renvoyer contre ceux que ous avons
aides autrefois; on ne nous donne pas d'ex-
plication, on nous crie : ";" et faut
marcher, l'arme au bras; voila ce que c'est
que d'etre soldatl
La Rose se mit a pleurer. Pour lors, es-
suyant ses yeux, elle dit:
- Il devait m'arriver quelque malheur au
jour d'aujourd'hui;"
ADAM;Mon-village;année ;32918;La Rose;MISC;0;0;5814;5821;"u'on doit
ous renvoyer contre ceux que ous avons
aides autrefois; on ne nous donne pas d'ex-
plication, on nous crie : En avantl et faut
marcher, l'arme au bras; voila ce que c'est
que d'etre soldatl
";" se mit a pleurer. Pour lors, es-
suyant ses yeux, elle dit:
- Il devait m'arriver quelque malheur au
jour d'aujourd'hui; ce matin j'ai ecrase deux
grosses araignees; de plus, Maman a vu le
feu siffle"
ADAM;Mon-village;année ;32918;"es-
suyant";PER;0;0;5851;5861;"e ous avons
aides autrefois; on ne nous donne pas d'ex-
plication, on nous crie : En avantl et faut
marcher, l'arme au bras; voila ce que c'est
que d'etre soldatl
La Rose se mit a pleurer. Pour lors, ";" ses yeux, elle dit:
- Il devait m'arriver quelque malheur au
jour d'aujourd'hui; ce matin j'ai ecrase deux
grosses araignees; de plus, Maman a vu le
feu siffler vers la droite de notre cremaillere.
E"
ADAM;Mon-village;année ;32918;Maman;PER;0;0;5997;6002;"e d'etre soldatl
La Rose se mit a pleurer. Pour lors, es-
suyant ses yeux, elle dit:
- Il devait m'arriver quelque malheur au
jour d'aujourd'hui; ce matin j'ai ecrase deux
grosses araignees; de plus, ";" a vu le
feu siffler vers la droite de notre cremaillere.
Et la pauvre petiote recommenca de pleu-

---------------i-
-
M1ON V1LLAGE.
rer, conmne si vraiment elle etait payce
pour ca.
- Je n'aime pas "
ADAM;Mon-village; année;32918;M1ON V1LLAGE;LOC;0;0;6122;6134;"
jour d'aujourd'hui; ce matin j'ai ecrase deux
grosses araignees; de plus, Maman a vu le
feu siffler vers la droite de notre cremaillere.
Et la pauvre petiote recommenca de pleu-

---------------i-
-
";".
rer, conmne si vraiment elle etait payce
pour ca.
- Je n'aime pas les femmes en faiblesse,
dit le dragon; laisse-moi mon courage. Tiens,
ma Rose, je te donne la bague de fiancailles;
prends, passe-l"
ADAM;Mon-village;année ;32918;rer;LOC;24.7846696;73.938632;6136;6139;"d'hui; ce matin j'ai ecrase deux
grosses araignees; de plus, Maman a vu le
feu siffler vers la droite de notre cremaillere.
Et la pauvre petiote recommenca de pleu-

---------------i-
-
M1ON V1LLAGE.
";", conmne si vraiment elle etait payce
pour ca.
- Je n'aime pas les femmes en faiblesse,
dit le dragon; laisse-moi mon courage. Tiens,
ma Rose, je te donne la bague de fiancailles;
prends, passe-la  to"
ADAM;Mon-village;année ;32918;ca;MISC;0;0;6182;6184;"nees; de plus, Maman a vu le
feu siffler vers la droite de notre cremaillere.
Et la pauvre petiote recommenca de pleu-

---------------i-
-
M1ON V1LLAGE.
rer, conmne si vraiment elle etait payce
pour ";".
- Je n'aime pas les femmes en faiblesse,
dit le dragon; laisse-moi mon courage. Tiens,
ma Rose, je te donne la bague de fiancailles;
prends, passe-la  ton doigt. Ne sois plus co-
quette, ni engagean"
ADAM;Mon-village;année ;32918;Rose;MISC;0;0;6276;6280;"iote recommenca de pleu-

---------------i-
-
M1ON V1LLAGE.
rer, conmne si vraiment elle etait payce
pour ca.
- Je n'aime pas les femmes en faiblesse,
dit le dragon; laisse-moi mon courage. Tiens,
ma ";", je te donne la bague de fiancailles;
prends, passe-la  ton doigt. Ne sois plus co-
quette, ni engageante; ne m'oublie jamais.
Ml'aimeras-tu encore quand je reviendrai, dis,
dis, ma Rose?
- Ohn oui, "
